id_cliente,nome,sobrenome,email,genero,data_nascimento,data_cadastro,telefone
34,Carlos,Costa,carlos.costa34@modaficticia.com.br,Masculino,2001-06-26,2024-04-26 18:55:47,(41) 944970-3608
35,Isabela,Santos,isabela.santos35@modaficticia.com.br,Feminino,1984-04-07,2024-04-12 12:52:50,(41) 939219-1387
36,Isabela,Pereira,isabela.pereira36@modaficticia.com.br,Feminino,1971-02-25,2024-03-12 18:32:25,(91) 953404-1452
37,Camila,Costa,camila.costa37@modaficticia.com.br,Feminino,1991-05-02,2024-01-20 14:22:46,(61) 967199-9379
38,Isabela,Castro,isabela.castro38@modaficticia.com.br,Feminino,1966-05-02,2024-06-14 08:33:59,(91) 997900-4228
39,Diego,Oliveira,diego.oliveira39@modaficticia.com.br,Masculino,1996-06-20,2024-03-22 09:46:57,(51) 976469-6067
40,Eduardo,Gomes,eduardo.gomes40@modaficticia.com.br,Masculino,1998-05-18,2024-02-07 14:42:24,(31) 990676-5930
41,Marcelo,Silva,marcelo.silva41@modaficticia.com.br,Masculino,1973-05-07,2024-04-26 17:38:41,(61) 970946-8238
42,Bruno,Barbosa,bruno.barbosa42@modaficticia.com.br,Masculino,1984-12-06,2024-06-03 12:32:42,(61) 922240-4848
43,André,Fernandes,andré.fernandes43@modaficticia.com.br,Masculino,1963-01-02,2024-02-16 17:54:49,(21) 969692-7790
44,Isabela,Mendes,isabela.mendes44@modaficticia.com.br,Feminino,1979-04-05,2024-06-23 08:57:48,(21) 965724-4585
45,Bianca,Carvalho,bianca.carvalho45@modaficticia.com.br,Feminino,1957-09-08,2024-01-15 10:51:29,(91) 983259-6198
46,Fernando,Barbosa,fernando.barbosa46@modaficticia.com.br,Masculino,1981-09-15,2024-02-24 15:28:16,(41) 993579-5543
47,André,Almeida,andré.almeida47@modaficticia.com.br,Masculino,1982-02-23,2024-03-08 12:21:20,(91) 920561-3267
48,Tatiane,Gomes,tatiane.gomes48@modaficticia.com.br,Feminino,1998-03-23,2024-02-03 14:26:21,(91) 971069-7812
49,Renata,Martins,renata.martins49@modaficticia.com.br,Feminino,1978-10-23,2024-01-28 20:36:24,(81) 910772-6763
50,Gustavo,Martins,gustavo.martins50@modaficticia.com.br,Masculino,1988-12-24,2024-05-26 17:57:14,(81) 938760-5471
51,Vinícius,Silva,vinícius.silva51@modaficticia.com.br,Masculino,1978-06-22,2024-06-26 14:46:10,(81) 926728-9751
52,Isabela,Castro,isabela.castro52@modaficticia.com.br,Feminino,1990-11-01,2024-01-21 14:08:55,(81) 933819-1823
53,Gustavo,Pereira,gustavo.pereira53@modaficticia.com.br,Masculino,1967-08-11,2024-03-25 14:17:48,(71) 943065-2341
54,Carlos,Dias,carlos.dias54@modaficticia.com.br,Masculino,1957-06-08,2024-06-03 20:41:02,(11) 942411-4266
55,Sabrina,Lima,sabrina.lima55@modaficticia.com.br,Feminino,1969-03-16,2024-06-04 17:13:29,(51) 958351-3749
56,Carla,Nunes,carla.nunes56@modaficticia.com.br,Feminino,1960-10-01,2024-03-19 18:58:24,(71) 935995-2245
57,Fernanda,Nunes,fernanda.nunes57@modaficticia.com.br,Feminino,1997-10-26,2024-01-26 17:50:02,(61) 979827-8018
58,Lucas,Barbosa,lucas.barbosa58@modaficticia.com.br,Masculino,1995-06-01,2024-04-27 15:06:27,(61) 993307-8532
59,Mariana,Costa,mariana.costa59@modaficticia.com.br,Feminino,2000-09-21,2024-03-20 20:58:34,(81) 970931-8136
60,Eduardo,Ribeiro,eduardo.ribeiro60@modaficticia.com.br,Masculino,1959-05-15,2024-02-25 15:36:39,(71) 954092-1470
61,Eduardo,Costa,eduardo.costa61@modaficticia.com.br,Masculino,1985-04-12,2024-03-11 12:56:38,(51) 982848-1166
62,Juliana,Ribeiro,juliana.ribeiro62@modaficticia.com.br,Feminino,2000-07-16,2024-05-25 11:44:30,(81) 968743-1282
63,Larissa,Ribeiro,larissa.ribeiro63@modaficticia.com.br,Feminino,1979-12-08,2024-03-22 17:23:30,(91) 979588-6632
64,Marcelo,Pereira,marcelo.pereira64@modaficticia.com.br,Masculino,1976-12-15,2024-03-10 12:14:07,(41) 951359-2958
65,Renata,Fernandes,renata.fernandes65@modaficticia.com.br,Feminino,2001-08-09,2024-06-19 20:33:38,(51) 923176-4180
66,André,Rodrigues,andré.rodrigues66@modaficticia.com.br,Masculino,1965-05-01,2024-06-18 10:17:02,(11) 982529-5786
67,Gabriela,Souza,gabriela.souza67@modaficticia.com.br,Feminino,1954-10-10,2024-04-16 15:21:11,(11) 943092-8827
68,Juliana,Gomes,juliana.gomes68@modaficticia.com.br,Feminino,1985-02-19,2024-06-22 08:09:09,(51) 921164-5066
69,Raquel,Martins,raquel.martins69@modaficticia.com.br,Feminino,1992-10-26,2024-05-08 20:33:24,(81) 968028-5871
70,Leonardo,Castro,leonardo.castro70@modaficticia.com.br,Masculino,1993-01-20,2024-06-04 20:13:40,(41) 944687-2330
71,Tatiane,Costa,tatiane.costa71@modaficticia.com.br,Feminino,1989-02-06,2024-01-14 15:44:38,(81) 948175-1534
72,Larissa,Nunes,larissa.nunes72@modaficticia.com.br,Feminino,1998-08-03,2024-06-08 12:50:50,(41) 965723-2880
73,Patricia,Almeida,patricia.almeida73@modaficticia.com.br,Feminino,2006-03-03,2024-01-06 20:19:38,(51) 967560-3037
74,Leonardo,Gomes,leonardo.gomes74@modaficticia.com.br,Masculino,1971-09-18,2024-04-15 09:38:02,(71) 952247-5102
75,Juliana,Ribeiro,juliana.ribeiro75@modaficticia.com.br,Feminino,1997-10-19,2024-01-25 18:52:17,(11) 932962-8708
76,Thiago,Costa,thiago.costa76@modaficticia.com.br,Masculino,1991-07-21,2024-04-03 15:22:26,(61) 952081-2713
77,Beatriz,Martins,beatriz.martins77@modaficticia.com.br,Feminino,1998-08-10,2024-06-13 20:35:02,(81) 921542-6153
78,Eduardo,Souza,eduardo.souza78@modaficticia.com.br,Masculino,2003-07-28,2024-05-27 08:42:55,(91) 970552-7770
79,Renata,Barbosa,renata.barbosa79@modaficticia.com.br,Feminino,1977-10-25,2024-04-21 15:48:03,(41) 945003-9998
80,Larissa,Carvalho,larissa.carvalho80@modaficticia.com.br,Feminino,1998-08-04,2024-01-21 17:51:15,(31) 950730-1224
81,Lucas,Ribeiro,lucas.ribeiro81@modaficticia.com.br,Masculino,1961-08-04,2024-06-27 10:31:59,(51) 976698-5479
82,Vinícius,Mendes,vinícius.mendes82@modaficticia.com.br,Masculino,1969-08-18,2024-02-13 11:58:38,(91) 927892-2143
83,Diego,Pereira,diego.pereira83@modaficticia.com.br,Masculino,2004-09-09,2024-01-10 19:19:53,(81) 929476-8316
84,Rafael,Pereira,rafael.pereira84@modaficticia.com.br,Masculino,1989-09-13,2024-04-11 11:44:15,(71) 940613-7730
85,Beatriz,Mendes,beatriz.mendes85@modaficticia.com.br,Feminino,1999-07-13,2024-06-26 18:09:31,(11) 926547-9229
86,Ricardo,Carvalho,ricardo.carvalho86@modaficticia.com.br,Masculino,1960-09-15,2024-01-24 10:26:55,(31) 919807-8692
87,Eduardo,Moreira,eduardo.moreira87@modaficticia.com.br,Masculino,1998-07-21,2024-01-28 13:54:43,(91) 959808-6188
88,Marcelo,Santos,marcelo.santos88@modaficticia.com.br,Masculino,1993-02-08,2024-06-22 12:14:47,(21) 966881-2612
89,Luana,Costa,luana.costa89@modaficticia.com.br,Feminino,1998-05-01,2024-01-11 20:03:18,(61) 959131-8056
90,Tatiane,Barbosa,tatiane.barbosa90@modaficticia.com.br,Feminino,1980-10-22,2024-02-06 10:05:39,(71) 991226-4945
91,Alexandre,Lima,alexandre.lima91@modaficticia.com.br,Masculino,1968-08-21,2024-03-15 12:42:00,(81) 947700-9955
92,Juliana,Carvalho,juliana.carvalho92@modaficticia.com.br,Feminino,1976-10-10,2024-06-14 19:16:29,(51) 936111-7302
93,Ricardo,Ribeiro,ricardo.ribeiro93@modaficticia.com.br,Masculino,1978-10-12,2024-05-10 19:18:01,(71) 945976-1132
94,Sabrina,Mendes,sabrina.mendes94@modaficticia.com.br,Feminino,1972-04-20,2024-03-08 18:12:39,(51) 998835-3240
95,Ana,Nunes,ana.nunes95@modaficticia.com.br,Feminino,2004-08-02,2024-05-12 19:08:05,(51) 952823-7807
96,Renata,Lima,renata.lima96@modaficticia.com.br,Feminino,2004-09-12,2024-05-17 12:53:10,(51) 973156-5835
97,Ricardo,Carvalho,ricardo.carvalho97@modaficticia.com.br,Masculino,1958-03-25,2024-02-28 18:46:43,(71) 983048-6992
98,Isabela,Silva,isabela.silva98@modaficticia.com.br,Feminino,1970-09-04,2024-04-12 18:47:43,(51) 986619-7242
99,Ricardo,Ribeiro,ricardo.ribeiro99@modaficticia.com.br,Masculino,1984-01-20,2024-05-11 17:14:41,(21) 993283-8606
100,Diego,Souza,diego.souza100@modaficticia.com.br,Masculino,1962-01-02,2024-03-16 09:06:15,(91) 927781-7367
101,Rafael,Dias,rafael.dias101@modaficticia.com.br,Masculino,1980-10-24,2024-06-05 14:41:06,(81) 990694-7686
102,Pedro,Rodrigues,pedro.rodrigues102@modaficticia.com.br,Masculino,1967-08-15,2024-02-28 13:06:43,(61) 981364-6876
103,Isabela,Almeida,isabela.almeida103@modaficticia.com.br,Feminino,1966-02-28,2024-04-03 18:13:41,(11) 916629-6464
104,Patricia,Castro,patricia.castro104@modaficticia.com.br,Feminino,1967-02-27,2024-05-07 17:13:52,(41) 953064-3417
105,Camila,Lima,camila.lima105@modaficticia.com.br,Feminino,1962-09-09,2024-02-04 18:55:01,(31) 911947-6869
106,Vanessa,Pereira,vanessa.pereira106@modaficticia.com.br,Feminino,1955-03-09,2024-01-05 19:26:33,(21) 918330-8802
107,Rafael,Barbosa,rafael.barbosa107@modaficticia.com.br,Masculino,1991-02-15,2024-05-08 17:02:46,(91) 949535-8504
108,Ana,Mendes,ana.mendes108@modaficticia.com.br,Feminino,1979-07-22,2024-01-16 19:58:28,(21) 920589-6277
109,Juliana,Lima,juliana.lima109@modaficticia.com.br,Feminino,1971-10-21,2024-05-18 19:20:24,(91) 948652-8433
110,Ricardo,Souza,ricardo.souza110@modaficticia.com.br,Masculino,1995-11-25,2024-05-24 11:27:28,(41) 964239-6553
111,Gustavo,Martins,gustavo.martins111@modaficticia.com.br,Masculino,2000-02-11,2024-04-11 18:16:23,(31) 972163-2099
112,Juliana,Oliveira,juliana.oliveira112@modaficticia.com.br,Feminino,1981-02-24,2024-06-12 20:08:35,(11) 986869-6400
113,Mariana,Rodrigues,mariana.rodrigues113@modaficticia.com.br,Feminino,1996-07-28,2024-06-02 12:38:19,(61) 923579-9313
114,Patricia,Mendes,patricia.mendes114@modaficticia.com.br,Feminino,1968-02-12,2024-05-12 09:48:17,(41) 966244-1430
115,Carlos,Costa,carlos.costa115@modaficticia.com.br,Masculino,1971-12-25,2024-03-11 13:00:11,(31) 984228-7566
116,Patricia,Silva,patricia.silva116@modaficticia.com.br,Feminino,1959-12-17,2024-02-13 14:29:21,(31) 958503-6105
117,Alexandre,Moreira,alexandre.moreira117@modaficticia.com.br,Masculino,1959-01-05,2024-02-25 17:03:43,(21) 945665-8259
118,Vinícius,Moreira,vinícius.moreira118@modaficticia.com.br,Masculino,1982-07-09,2024-02-25 16:07:22,(71) 924534-5640
119,Daniel,Nunes,daniel.nunes119@modaficticia.com.br,Masculino,1956-04-13,2024-05-02 08:13:19,(41) 927987-5186
120,Eduardo,Souza,eduardo.souza120@modaficticia.com.br,Masculino,1954-08-24,2024-04-06 10:24:34,(41) 975570-6802
121,Isabela,Santos,isabela.santos121@modaficticia.com.br,Feminino,1981-01-15,2024-01-28 13:36:27,(71) 993904-7843
122,Ricardo,Gomes,ricardo.gomes122@modaficticia.com.br,Masculino,1955-06-06,2024-05-15 19:58:23,(21) 967240-2734
123,Mariana,Castro,mariana.castro123@modaficticia.com.br,Feminino,1979-09-03,2024-04-28 12:47:21,(41) 953655-3754
124,Bianca,Souza,bianca.souza124@modaficticia.com.br,Feminino,1987-09-07,2024-03-12 19:52:41,(31) 940968-2684
125,Camila,Fernandes,camila.fernandes125@modaficticia.com.br,Feminino,1965-10-05,2024-06-03 10:49:40,(81) 970811-8354
126,Eduardo,Lima,eduardo.lima126@modaficticia.com.br,Masculino,1982-02-16,2024-04-21 12:50:17,(11) 956129-9312
127,Larissa,Carvalho,larissa.carvalho127@modaficticia.com.br,Feminino,1982-01-02,2024-03-27 12:04:41,(21) 990610-9307
128,Rodrigo,Castro,rodrigo.castro128@modaficticia.com.br,Masculino,1989-12-02,2024-04-26 17:41:12,(61) 989299-8792
129,Ana,Carvalho,ana.carvalho129@modaficticia.com.br,Feminino,1960-06-23,2024-01-17 18:11:02,(41) 967377-8199
130,Amanda,Rodrigues,amanda.rodrigues130@modaficticia.com.br,Feminino,1972-07-14,2024-03-22 17:03:50,(61) 918639-6401
131,Raquel,Gomes,raquel.gomes131@modaficticia.com.br,Feminino,1972-05-24,2024-06-20 10:21:05,(31) 955851-6082
132,Gabriel,Moreira,gabriel.moreira132@modaficticia.com.br,Masculino,1999-02-10,2024-05-13 18:50:21,(31) 997833-9624
133,Mariana,Barbosa,mariana.barbosa133@modaficticia.com.br,Feminino,1977-01-12,2024-03-06 11:21:49,(81) 935166-4711
134,Patricia,Oliveira,patricia.oliveira134@modaficticia.com.br,Feminino,1972-02-17,2024-05-27 19:56:33,(11) 996760-6517
135,Sabrina,Gomes,sabrina.gomes135@modaficticia.com.br,Feminino,1963-03-06,2024-06-25 17:51:57,(31) 967366-1715
136,Rafael,Ribeiro,rafael.ribeiro136@modaficticia.com.br,Masculino,1982-10-10,2024-06-26 15:14:34,(41) 950562-8684
137,Amanda,Castro,amanda.castro137@modaficticia.com.br,Feminino,1982-08-25,2024-03-25 14:32:33,(71) 931241-4271
138,Camila,Santos,camila.santos138@modaficticia.com.br,Feminino,1995-08-28,2024-03-18 09:45:54,(91) 926341-5670
139,Carla,Almeida,carla.almeida139@modaficticia.com.br,Feminino,1982-09-05,2024-04-03 11:52:28,(61) 913495-7797
140,Isabela,Barbosa,isabela.barbosa140@modaficticia.com.br,Feminino,1977-04-13,2024-01-12 11:01:20,(21) 995191-6493
141,Patricia,Santos,patricia.santos141@modaficticia.com.br,Feminino,1972-08-23,2024-02-25 19:30:28,(11) 920384-1311
142,Bruno,Lima,bruno.lima142@modaficticia.com.br,Masculino,1989-12-20,2024-05-14 09:49:18,(41) 949472-2996
143,Tatiane,Martins,tatiane.martins143@modaficticia.com.br,Feminino,1994-10-15,2024-01-04 15:38:34,(11) 992831-9443
144,Patricia,Nunes,patricia.nunes144@modaficticia.com.br,Feminino,1981-01-20,2024-03-08 17:26:11,(21) 978614-6908
145,Bianca,Dias,bianca.dias145@modaficticia.com.br,Feminino,1986-09-18,2024-01-13 15:02:40,(71) 958929-5155
146,Amanda,Oliveira,amanda.oliveira146@modaficticia.com.br,Feminino,1976-04-24,2024-06-21 09:49:37,(61) 927486-1726
147,Marcelo,Pereira,marcelo.pereira147@modaficticia.com.br,Masculino,2006-11-06,2024-06-15 19:30:40,(31) 927675-2033
148,Pedro,Nunes,pedro.nunes148@modaficticia.com.br,Masculino,1966-01-26,2024-02-02 13:59:19,(91) 962196-9897
149,Thiago,Santos,thiago.santos149@modaficticia.com.br,Masculino,2002-11-07,2024-03-12 20:03:55,(61) 945811-3039
150,Diego,Gomes,diego.gomes150@modaficticia.com.br,Masculino,2001-08-13,2024-03-06 15:44:31,(61) 978062-5369
151,Mariana,Oliveira,mariana.oliveira151@modaficticia.com.br,Feminino,1981-10-27,2024-02-18 12:20:06,(21) 952981-5843
152,Rodrigo,Moreira,rodrigo.moreira152@modaficticia.com.br,Masculino,1999-07-06,2024-06-15 13:28:02,(61) 990589-8126
153,Pedro,Oliveira,pedro.oliveira153@modaficticia.com.br,Masculino,1996-11-13,2024-03-17 20:47:43,(31) 914081-3339
154,Pedro,Lima,pedro.lima154@modaficticia.com.br,Masculino,1958-04-25,2024-06-12 13:24:36,(11) 989310-3513
155,Rafael,Rodrigues,rafael.rodrigues155@modaficticia.com.br,Masculino,1982-02-19,2024-02-17 13:25:20,(51) 942717-2858
156,Carla,Mendes,carla.mendes156@modaficticia.com.br,Feminino,1987-07-18,2024-01-09 20:16:45,(81) 938124-5678
157,Bruno,Souza,bruno.souza157@modaficticia.com.br,Masculino,1962-02-15,2024-02-23 15:05:51,(61) 997535-6692
158,Raquel,Dias,raquel.dias158@modaficticia.com.br,Feminino,1972-05-28,2024-02-23 19:59:44,(31) 957381-9335
159,Fernanda,Fernandes,fernanda.fernandes159@modaficticia.com.br,Feminino,2004-03-08,2024-04-01 13:35:36,(61) 971263-3126
160,Juliana,Nunes,juliana.nunes160@modaficticia.com.br,Feminino,1979-12-24,2024-04-17 14:49:26,(21) 926426-6194
161,Luana,Carvalho,luana.carvalho161@modaficticia.com.br,Feminino,1997-09-12,2024-02-27 20:35:40,(31) 926912-8088
162,Fernanda,Barbosa,fernanda.barbosa162@modaficticia.com.br,Feminino,1963-05-06,2024-02-11 19:14:22,(91) 947230-2292
163,Bruno,Dias,bruno.dias163@modaficticia.com.br,Masculino,1971-03-21,2024-03-20 16:05:32,(31) 987569-3526
164,Sabrina,Moreira,sabrina.moreira164@modaficticia.com.br,Feminino,1975-10-02,2024-01-03 08:41:49,(51) 995344-4453
165,Fernando,Silva,fernando.silva165@modaficticia.com.br,Masculino,1985-11-18,2024-03-21 12:30:15,(71) 948985-8430
166,Ana,Costa,ana.costa166@modaficticia.com.br,Feminino,1982-07-16,2024-04-07 13:38:09,(61) 951853-6658
167,Gabriel,Rodrigues,gabriel.rodrigues167@modaficticia.com.br,Masculino,1986-09-04,2024-03-08 15:07:17,(81) 942495-3308
168,Ana,Nunes,ana.nunes168@modaficticia.com.br,Feminino,1978-10-14,2024-02-28 10:52:20,(61) 934881-3610
169,Daniel,Carvalho,daniel.carvalho169@modaficticia.com.br,Masculino,1985-05-16,2024-01-03 14:32:29,(41) 938199-6781
170,Ana,Nunes,ana.nunes170@modaficticia.com.br,Feminino,1985-10-27,2024-06-22 15:18:34,(11) 924089-8060
171,Camila,Rodrigues,camila.rodrigues171@modaficticia.com.br,Feminino,2002-07-12,2024-01-13 08:36:35,(41) 957516-5728
172,Isabela,Barbosa,isabela.barbosa172@modaficticia.com.br,Feminino,1982-09-09,2024-05-22 17:07:08,(21) 961629-7114
173,Marcelo,Rodrigues,marcelo.rodrigues173@modaficticia.com.br,Masculino,2002-03-07,2024-05-17 14:32:02,(11) 915100-3245
174,Vinícius,Barbosa,vinícius.barbosa174@modaficticia.com.br,Masculino,1983-03-20,2024-05-05 13:59:39,(61) 931299-7438
175,Alexandre,Pereira,alexandre.pereira175@modaficticia.com.br,Masculino,1986-09-18,2024-04-23 17:19:30,(11) 958281-6427
176,Mariana,Castro,mariana.castro176@modaficticia.com.br,Feminino,1973-12-28,2024-06-21 08:38:30,(51) 995929-4728
177,Vanessa,Mendes,vanessa.mendes177@modaficticia.com.br,Feminino,1964-09-21,2024-06-20 20:53:24,(31) 999224-4968
178,Vanessa,Souza,vanessa.souza178@modaficticia.com.br,Feminino,1966-01-15,2024-03-14 10:26:44,(41) 963788-9221
179,Pedro,Lima,pedro.lima179@modaficticia.com.br,Masculino,1987-04-18,2024-03-22 15:33:24,(61) 932699-8531
180,Marcelo,Rodrigues,marcelo.rodrigues180@modaficticia.com.br,Masculino,1997-12-22,2024-06-26 19:16:39,(81) 935200-5038
181,Marcelo,Nunes,marcelo.nunes181@modaficticia.com.br,Masculino,1968-05-25,2024-03-23 11:44:45,(81) 951555-8861
182,Marcelo,Almeida,marcelo.almeida182@modaficticia.com.br,Masculino,1972-02-19,2024-06-18 14:57:25,(61) 929198-5758
183,Larissa,Oliveira,larissa.oliveira183@modaficticia.com.br,Feminino,1976-08-21,2024-03-24 15:13:12,(91) 945537-5450
184,Fernanda,Moreira,fernanda.moreira184@modaficticia.com.br,Feminino,2001-10-08,2024-02-02 18:57:33,(41) 993616-4814
185,Fernanda,Martins,fernanda.martins185@modaficticia.com.br,Feminino,1975-12-16,2024-01-22 20:08:00,(91) 930701-7666
186,Vinícius,Fernandes,vinícius.fernandes186@modaficticia.com.br,Masculino,2002-05-11,2024-03-21 08:58:49,(21) 995498-4804
187,Carla,Martins,carla.martins187@modaficticia.com.br,Feminino,1965-01-27,2024-04-26 15:11:59,(51) 914910-1151
188,Alexandre,Moreira,alexandre.moreira188@modaficticia.com.br,Masculino,1960-06-10,2024-04-21 16:33:31,(31) 976088-8668
189,Bruno,Souza,bruno.souza189@modaficticia.com.br,Masculino,1975-03-24,2024-04-21 12:45:11,(11) 954185-5833
190,Carla,Moreira,carla.moreira190@modaficticia.com.br,Feminino,1994-07-27,2024-04-17 13:05:25,(21) 934219-3303
191,Eduardo,Ribeiro,eduardo.ribeiro191@modaficticia.com.br,Masculino,1954-05-13,2024-02-15 20:17:21,(51) 986344-1187
192,Rafael,Ribeiro,rafael.ribeiro192@modaficticia.com.br,Masculino,1957-11-04,2024-04-10 10:25:43,(91) 950760-2923
193,Rafael,Moreira,rafael.moreira193@modaficticia.com.br,Masculino,1968-04-05,2024-04-05 15:47:38,(61) 964505-9998
194,Marcelo,Fernandes,marcelo.fernandes194@modaficticia.com.br,Masculino,2002-04-22,2024-05-28 20:05:33,(81) 979228-6927
195,Vanessa,Souza,vanessa.souza195@modaficticia.com.br,Feminino,1957-09-17,2024-02-19 16:09:10,(61) 978202-8239
196,Renata,Castro,renata.castro196@modaficticia.com.br,Feminino,1985-02-17,2024-04-26 08:29:08,(91) 964450-8484
197,Raquel,Carvalho,raquel.carvalho197@modaficticia.com.br,Feminino,1997-05-24,2024-01-13 12:52:00,(41) 985800-2196
198,Mariana,Rodrigues,mariana.rodrigues198@modaficticia.com.br,Feminino,1998-02-18,2024-01-03 15:02:18,(71) 933590-3218
199,Rafael,Gomes,rafael.gomes199@modaficticia.com.br,Masculino,1982-07-13,2024-01-22 18:55:34,(31) 995660-6697
200,Carla,Dias,carla.dias200@modaficticia.com.br,Feminino,1979-09-05,2024-06-08 08:48:01,(51) 970686-9920
201,Marcelo,Gomes,marcelo.gomes201@modaficticia.com.br,Masculino,2006-04-08,2024-04-12 10:17:12,(21) 914222-7868
202,Tatiane,Fernandes,tatiane.fernandes202@modaficticia.com.br,Feminino,1958-02-20,2024-01-15 17:43:45,(11) 942077-1724
203,Rodrigo,Ribeiro,rodrigo.ribeiro203@modaficticia.com.br,Masculino,1988-04-25,2024-01-05 16:18:14,(61) 985690-6253
204,Larissa,Lima,larissa.lima204@modaficticia.com.br,Feminino,1996-09-08,2024-04-10 12:03:35,(31) 992050-7999
205,Pedro,Rodrigues,pedro.rodrigues205@modaficticia.com.br,Masculino,1995-11-13,2024-05-11 19:26:26,(31) 949306-7167
206,Raquel,Mendes,raquel.mendes206@modaficticia.com.br,Feminino,1969-04-10,2024-06-05 20:29:58,(11) 983713-7761
207,Marcelo,Barbosa,marcelo.barbosa207@modaficticia.com.br,Masculino,1962-07-08,2024-03-07 13:41:05,(81) 958637-2514
208,Ana,Almeida,ana.almeida208@modaficticia.com.br,Feminino,1978-11-20,2024-05-02 09:12:51,(91) 938444-8854
209,Beatriz,Nunes,beatriz.nunes209@modaficticia.com.br,Feminino,1954-04-07,2024-06-04 19:48:30,(41) 989220-4350
